S/N,Division,Name of Merchant / Hawker stall,Trade of services/goods,Address,Postal Code
1530,Marymount,WENG FENG VEGETABLE RICE,FOOD & BEVERAGES,BLK 22 SIN MING ROAD #01-258,570022
1531,Marymount,正记鸭饭,FOOD & BEVERAGES,BLK 22 SIN MING #01-244,570022
1532,Marymount,HEMA MINIMART,GROCERY/PROVISION SHOP/MINIMART,SIN MING ROAD BLK 22 # 01-240,570022
1533,Marymount,JIANG QUAN CURRY RICE,FOOD & BEVERAGES,24 SIN MING ROAD #01-51,570024
1534,Marymount,EXPRESS MINI,GROCERY/PROVISION SHOP/MINIMART,BLK 222 BISHAN STREET 23 #01-K1,570222
1535,Marymount,DING JI,FOOD & BEVERAGES,BLK 280 BISHAN ST 24 #01-24,570280
1536,Marymount,CHUAN LONG,HARDWARE AND REPAIRS SHOP,BLK 280 BISHAN STREET 24 #01-16,570280
1537,Marymount,ZTP GINSENG BIRDNEST,CLINIC/PHARMACY/HEALTHCARE,BLK 282 BISHAN STREET 22 #01-107,570282
1538,Marymount,I TEA,FOOD & BEVERAGES,282 BISHAN STREET 22 #01-149,570282
1539,Marymount,DING JI,FOOD & BEVERAGES,BLK 284 BISHAN ST 22 #01-211,570284
1540,Moulmein-Cairnhill,AH WAH WESTERN FOOD,FOOD & BEVERAGES,BLK 43 CAMBRIDGE ROAD,210043
1541,Moulmein-Cairnhill,CHOON SENG TEO-CHEW PORRIDGE,FOOD & BEVERAGES,BLK 43 CAMBRIDGE RD #01-09,210043
1542,Moulmein-Cairnhill,ZEN WANG CHINESE FOODS,FOOD & BEVERAGES,BLK 44 OWEN ROAD #01-321 COFFEE SHOP,210044
1543,Moulmein-Cairnhill,CHAN MUN YUAN MING JI SEAFOOD BLK 44 COFFEE SHOP,FOOD & BEVERAGES,BLK 44 CAMBRIDGE ROAD COFFEE SHOP,210044
1544,Moulmein-Cairnhill,NORTHERNDEW PTE LTD,FOOD & BEVERAGES,BLK 44 OWEN ROAD #01-317,210044
1545,Moulmein-Cairnhill,THE BAKER’S,CONFECTIONERY,BLK 44 OWEN ROAD #01-307,210044
1546,Moulmein-Cairnhill,COLALA,FOOD & BEVERAGES,BLK 44 OWEN ROAD (COFFEE SHOP),210044
1547,Moulmein-Cairnhill,LOUIS DURIAN AND FRUITS,FOOD & BEVERAGES,44 OWEN ROAD #01-313,210044
1548,Moulmein-Cairnhill,126 CONNECTION BAKERY,CONFECTIONERY,BLK 45 OWEN ROAD #01-297,210045
1549,Moulmein-Cairnhill,FENG YOU JI,FOOD & BEVERAGES,BLK 46 OWEN ROAD #01-267 (COFFEE SHOP),210046
1550,Moulmein-Cairnhill,OLD TONG KEE,FOOD & BEVERAGES,BLK 46 OWEN ROAD (COFFEE SHOP),210046
1551,Moulmein-Cairnhill,MUN EE SEAFOOD,FOOD & BEVERAGES,BLK 46 OWEN ROAD #01-267,210046
1552,Moulmein-Cairnhill,MART@DORSET,GROCERY/PROVISION SHOP/MINIMART,50 DORSET ROAD #01-140,210050
1553,Moulmein-Cairnhill,AAB SWEETS,GROCERY/PROVISION SHOP/MINIMART,BLK 664 BUFFALO ROAD #01-02,210664
1554,Moulmein-Cairnhill,ZHAM ZHAM MUSLIM FOOD,FOOD & BEVERAGES,"#01-217, TEKKA MARKET",210665
1555,Moulmein-Cairnhill,DELHI LAHORI,FOOD & BEVERAGES,665 BUFFALO ROAD #01-266 TEKKA MARKET,210665
1556,Moulmein-Cairnhill,G.V. MEAT DISTRIBUTORS,OTHERS: MUTTON AND LAMB,BLK 665 BUFFALO ROAD #01-145,210665
1557,Moulmein-Cairnhill,TONG SIEW FRIED RICE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-23 (PEK KIO HAWKER CTR),211041
1558,Moulmein-Cairnhill,FRESH FRUIT JUICE SUGARCANE JUICE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-37 (PEK KIO HAWKER CTR),211041
1559,Moulmein-Cairnhill,DOUBLE SPRING TEOCHEOW LOR BUCK,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-38 (PEK KIO HAWKER CTR),211041
1560,Moulmein-Cairnhill,LAI HIANG PORK RIB PRAWN MEE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-41 (PEK KIO HAWKER CTR),211041
1561,Moulmein-Cairnhill,HANDMADE FISHBALL NOODLE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-42 (PEK KIO HAWKER CTR),211041
1562,Moulmein-Cairnhill,SHENG SENG FRIED PRAWN NOODLE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01- 40 (PEK KIO HAWKER CTR),211041
1563,Moulmein-Cairnhill,M.M ABDULLAH INDIAN MUSLIM FOOD,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-08 (PEK KIO HAWKER CTR),211041
1564,Moulmein-Cairnhill,FARRER PARK NIANG DOU FU,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-17 (PEK KIO HAWKER CTR),211041
1565,Moulmein-Cairnhill,DELICACY FISH SOUP,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-03,211041
1566,Moulmein-Cairnhill,SOON HUAT WANTON NOODLE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD (PEK KIO HAWKER CTR) #01-04,211041
1567,Moulmein-Cairnhill,G.I FRESH FRUIT JUICE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD (PEK KIO HAWKER CTR) #01-27,211041
1568,Moulmein-Cairnhill,TAN KEE'S ROAST,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-26 (PEK KIO HAWKER CTR),211041
1569,Moulmein-Cairnhill,SOON LEE MUSHROOM MINCED PORK NOODLE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-22 (PEK KIO HAWKER CTR),211041
1570,Moulmein-Cairnhill,SIN KEE NASI LEMAK,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-34,211041
1571,Moulmein-Cairnhill,CAMBRIDGE ROAD HONG KONG ROAST PORK,FOOD & BEVERAGES,41A CAMBRIDGE ROAD #01-18,211041
1572,Moulmein-Cairnhill,JIN JU HOT & COLD DRINK CORNER,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-31,211041
1573,Moulmein-Cairnhill,ZHENG XIN SI CHAO,FOOD & BEVERAGES,"BLK 41A CAMBRIDGE ROAD
#01-02",211041
1574,Moulmein-Cairnhill,RED HAINANESE CHICKEN RICE,FOOD & BEVERAGES,BLK 41A CAMBRIDGE ROAD #01-05,211041
1575,Potong Pasir,DING JI FISHBALL NOODLE,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,340106
1576,Potong Pasir,KING OMAR RESTAURANT,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,340106
1577,Potong Pasir,UNCLE PENYET,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,340106
1578,Potong Pasir,ER BO MU BAN MIAN,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,340106
1579,Potong Pasir,RICE GARDEN,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,340106
1580,Potong Pasir,PRIME SUPERMARKET,GROCERY/PROVISION SHOP/MINIMART,BLK 106 BIDADARI PARK DRIVE #01-06,340106
1581,Potong Pasir,DING JI,FOOD & BEVERAGES,106 BIDADARI PARK DRIVE #01-05,341106
1582,Potong Pasir,DRINKS STALL,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1583,Potong Pasir,HALAL FOUR FRIED,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1584,Potong Pasir,INDIAN MUSLIM,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1585,Potong Pasir,WESTERN,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1586,Potong Pasir,CHINA DELIGHTS,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1587,Potong Pasir,MINI WOK,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1588,Potong Pasir,FISHBALL NOODLES,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1589,Potong Pasir,MIXED RICE,FOOD & BEVERAGES,BLK 115C ALKAFF CRES #01-01,343115
1590,Potong Pasir,GOURMET STREET PTE LTD,FOOD & BEVERAGES,171 MACPHERSON ROAD,348536
1591,Potong Pasir,SING LI CHICKEN RICE,FOOD & BEVERAGES,177 MACPHERSON ROAD,348538
1592,Potong Pasir,SING LI MIXED VEGETABLE RICE,FOOD & BEVERAGES,177 MACPHERSON ROAD,348538
1593,Potong Pasir,SING LI PIG'S ORGAN SOUP,FOOD & BEVERAGES,177 MACPHERSON ROAD,348538
1594,Potong Pasir,SING LI MINCED MEAT NOODLES,FOOD & BEVERAGES,177 MACPHERSON ROAD,348538
1595,Potong Pasir,SING LI FOOD JUNCTION DRINK STALL,FOOD & BEVERAGES,177 MACPHERSON ROAD,348538
1596,Potong Pasir,FOOD ASPIRATION PTE LTD,FOOD & BEVERAGES,179 MACPHERSON ROAD,348539
1597,Potong Pasir,CASUARINA CURRY BANANA LEAF PTE LTD,FOOD & BEVERAGES,187 MACPHERSON ROAD,348545
1598,Potong Pasir,DANNY’S HAIR DESIGNER & BEAUTY SALON,HAIR SALON/BARBER SHOP,BLK 120 POTONG PASIR AVE 1 #01-808,350120
1599,Potong Pasir,FOODSHOP,FOOD & BEVERAGES,120 POTONG PASIR AVE 1 #01-806,350120
1600,Potong Pasir,120 SEAFOOD,FOOD & BEVERAGES,120 POTONG PASIR AVE 1 #01-806,350120
1601,Potong Pasir,DUCK RICE,FOOD & BEVERAGES,120 POTONG PASIR AVE 1 #01-806,350120
1602,Potong Pasir,HAINAN TRADITIONAL SATAY,FOOD & BEVERAGES,120 POTONG PASIR AVE 1 #01-806,350120
1603,Potong Pasir,CENTRAL HAIRDRESSING AND BEAUTY SALOON.,HAIR SALON/BARBER SHOP,BLK 136 POTONG PASIR AVE 3 #01-156,350136
1604,Potong Pasir,ECONOMICAL FRIED BEE HOON,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1605,Potong Pasir,DRINKS STALL,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1606,Potong Pasir,MIXED VEGETABLE RICE,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1607,Potong Pasir,新民路居宨面,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1608,Potong Pasir,WANTON MEE,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1609,Potong Pasir,杨森,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1610,Potong Pasir,NEW REALM VEGETARIAN,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1611,Potong Pasir,M. ELLYSHAH MUSLIM FOOD,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1612,Potong Pasir,UNCLE SIM,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1613,Potong Pasir,INDIAN MUSLIM FOOD,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1614,Potong Pasir,PANCAKE STALL,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1615,Potong Pasir,SEAFOOD STALL,FOOD & BEVERAGES,136 POTONG PASIR AVE 3,350136
1616,Potong Pasir,FRESH PRODUCE SPECIALIST,GROCERY/PROVISION SHOP/MINIMART,136 POTONG PASIR AVE 3,350136
1617,Potong Pasir,TIONG BAHRU CHWEE KUEH,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1618,Potong Pasir,DRINKS STALL,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1619,Potong Pasir,新来住菜饭,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1620,Potong Pasir,RU HENG NOODLE HOUSE,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1621,Potong Pasir,MALA XIANG GUO,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1622,Potong Pasir,印寗妹宅吃,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1623,Potong Pasir,KEMBANGAN VEGETARIAN,FOOD & BEVERAGES,137 POTONG PASIR AVE 3,350137
1624,Potong Pasir,SELETAR SEAFOOD CENTRE PTE LTD,FOOD & BEVERAGES,BLK 146 POTONG PASIR AVE 1 #01-135,350146
1625,Potong Pasir,CLAYPOT,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1626,Potong Pasir,CHINA DELIGHTS/MALA,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1627,Potong Pasir,BAN MIAN/ SPINACH SOUP,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1628,Potong Pasir,JAPANESE/KOREAN,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1629,Potong Pasir,INDIAN,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1630,Potong Pasir,FISHBALL NOODLE/ LAKSA,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1631,Potong Pasir,MIXED RICE,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1632,Potong Pasir,SEAFOOD,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1633,Potong Pasir,WESTERN,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1634,Potong Pasir,ROAST DUCK,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1635,Potong Pasir,DRINK STALL,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1636,Potong Pasir,VEGETARIAN,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1637,Potong Pasir,DESSERT,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1638,Potong Pasir,DIM SUM,FOOD & BEVERAGES,BLK 147 POTONG PASIR AVE 1 #01-93,350147
1639,Potong Pasir,MIXED VEG RICE,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1640,Potong Pasir,CHEF RECIPE,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1641,Potong Pasir,HUP LEE FRIED BEEHOON,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1642,Potong Pasir,HOOI KEE ROASTED,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1643,Potong Pasir,FISH SOUP,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1644,Potong Pasir,MALA HOTPOT,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1645,Potong Pasir,TEOCHEW FISHBALL NOODLE,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1646,Potong Pasir,136 HONG KONG ST FISH HEAD STEAMBOAT,FOOD & BEVERAGES,UPP ALJUNIED LANE #01-02,360001
1647,Potong Pasir,SENG KEE LOCAL DELIGHTS,GROCERY/PROVISION SHOP/MINIMART,2 UPPER ALJUNIED LANE,360002
1648,Potong Pasir,FRUITYD,FOOD & BEVERAGES,BLK 2 UPP ALJUNIED LANE #01-15,360002
1649,Potong Pasir,PARISHA MART,GROCERY/PROVISION SHOP/MINIMART,#01-01 UPPER ALJUNIED LANE,360002
1650,Potong Pasir,FREDDIE FOX SAPPHIRE FRUIT WORKSHOP,FOOD & BEVERAGES,2 UPPER ALJUNIED LANE #01-11,360002
1651,Potong Pasir,MAKE YOUR OWN,"OTHERS: CRAFT WORKSHOP, CAFÉ, GARDENING SUPPLIES, HANDMADE GOODS",BLK 4 UPPER ALJUNIED LANE #01-06,360004
1652,Potong Pasir,HE XI RESTAURANT,FOOD & BEVERAGES,4 UPPER ALJUNIED LANE #01-22,360004
1653,Potong Pasir,MY CHICKEN RICE STALL PTE LTD,FOOD & BEVERAGES,375 UPPER ALJUNIED ROAD,367861
1654,Potong Pasir,NORIMA BY MINHAT,FOOD & BEVERAGES,375 UPPER ALJUNIED ROAD,367861
1655,Potong Pasir,SENG LIONG TAI,FOOD & BEVERAGES,BLK 391 UPPER ALJUNIED RD #01-391,367876
1656,Potong Pasir,SENG LIONG TAI,FOOD & BEVERAGES,BLK 391 UPPER ALJUNIED RD #01-391,367876
1657,Potong Pasir,NOODLE,FOOD & BEVERAGES,BLK 391 UPPER ALJUNIED RD #01-391,367876
1658,Potong Pasir,XINLAILAI SEAFOOD RESTAURANT,FOOD & BEVERAGES,BLK 391 UPPER ALJUNIED RD #01-391,367876
1659,Potong Pasir,STS RESTAURANT PTE LTD,FOOD & BEVERAGES,391 UPP ALJUNIED ROAD,367876
1660,Potong Pasir,NOODLE,FOOD & BEVERAGES,391 UPP ALJUNIED ROAD,367876
1661,Potong Pasir,XIN LAI LAI SEAFOOD,FOOD & BEVERAGES,391 UPP ALJUNIED ROAD,367876
1662,Queenstown,KOPI SOH (XING WANG COFFEE),FOOD & BEVERAGES,BLK 159 MEI LING ST #02-03,140156
1663,Queenstown,K2 STYLIST HAIR SALON,HAIR SALON/BARBER SHOP,157 MEI LING STREET #01-70 MEI LING HEIGHTS,140157
1664,Queenstown,TIAN XIANG DRINKS STALL,FOOD & BEVERAGES,158 MEI LING STREET #01-74,140158
1665,Queenstown,CHANG JI HONG KONG STYLE HERBAL DUCK,FOOD & BEVERAGES,158 MEI LING STREET #01-74,140158
1666,Queenstown,TIAN XIANG STEAMBOAT ZHI CHAR,FOOD & BEVERAGES,158 MEI LING STREET #01-74,140158
1667,Queenstown,NOURISHING HERBAL SOUP,FOOD & BEVERAGES,158 MEI LING STREET #01-74,140158
1668,Queenstown,158 AYAM PENYET STALL,FOOD & BEVERAGES,158 MEI LING STREET #01-74,140158
1669,Queenstown,HENG LONG BBQ CHICKEN RICE,FOOD & BEVERAGES,159 MEI LING STREET #02-42,140159
1670,Queenstown,LAK KUAN ECONOMIC BEE HOON,FOOD & BEVERAGES,159 MEI LING STREET #02-39,140159
1671,Queenstown,MEI YA COFFEE CORNER,FOOD & BEVERAGES,159 MEI LING STREET #02-37,140159
1672,Queenstown,MEI LING MIXED RICE,FOOD & BEVERAGES,159 MEI LING STREET #02-36,140159
1673,Queenstown,NISHAS INDIAN FOOD,FOOD & BEVERAGES,159 MEI LING STREET #02-34,140159
1674,Queenstown,DELI SNACKS,FOOD & BEVERAGES,159 MEI LING STREET #02-28,140159
1675,Queenstown,MEI CHIN COLD AND HOT DRINKS,FOOD & BEVERAGES,159 MEI LING STREET #02-20,140159
1676,Queenstown,NASI LEMAK,FOOD & BEVERAGES,159 MEI LING STREET #02-17,140159
1677,Queenstown,CLAYPOT SMALL VEGETABLE RICE,FOOD & BEVERAGES,159 MEI LING STREET #02-13,140159
1678,Queenstown,XIN LU FISHBALL NOODLE,FOOD & BEVERAGES,159 MEI LING STREET #02-05,140159
1679,Queenstown,VEGETARIAN,FOOD & BEVERAGES,159 MEI LING STREET #02-02,140159
1680,Queenstown,POULTRY,WET MARKET,159 MEI LING STREET #01-37,140159
1681,Queenstown,POULTRY,WET MARKET,159 MEI LING STREET #01-64,140159
1682,Queenstown,MUSLIM DELICACIES AND FOOD STALL,WET MARKET,159 MEI CHIN ROAD #02-46,140159
1683,Queenstown,HUA KEE NOODLES,FOOD & BEVERAGES,159 MEI LING STREET #02-26,140159
1684,Queenstown,MEI LING STREET WANTON NOODLE,FOOD & BEVERAGES,159 MEI LING STREET #02-32,140159
1685,Queenstown,AH PANG STEAMBOAT SEAFOOD,FOOD & BEVERAGES,159 MEI CHIN ROAD #02-21,140159
1686,Queenstown,YOU HUAT COOKED FOOD,FOOD & BEVERAGES,159 MEI LING STREET #02-19,140159
1687,Queenstown,TONG SENG SOYA,FOOD & BEVERAGES,159 MEI CHIN ROAD #02-30,140159
1688,Queenstown,HUP KEE FISHBALL MEE,FOOD & BEVERAGES,159 MEI CHIN ROAD #02-38,140159
1689,Queenstown,HUI WEI,FOOD & BEVERAGES,159 MEI CHIN ROAD #02-14,140159
1690,Queenstown,FRESH SEAFOOD,WET MARKET,159 MEI CHIN MARKET #01-44,140159
1691,Queenstown,EGGS,WET MARKET,159 MEI CHIN ROAD #01-38,140159
1692,Queenstown,CHUA YAN HENG,WET MARKET,159 MEI LING STREET #01-19,140159
1693,Queenstown,CHUA BROTHER VEGETABLE,WET MARKET,159 MEI LING STREET #01-50/51,140159
1694,Queenstown,LI HENG POULTRY SUPPLIERS,WET MARKET,BLK 159 MEI CHIN ROAD #01-45,140159
1695,Queenstown,SHI HUI YUAN,FOOD & BEVERAGES,159 MEI CHIN ROAD #02-33,140159
1696,Queenstown,SIN HENG DESSERT,FOOD & BEVERAGES,159 MEI LING STREET #02-25,140159
1697,Queenstown,JIA BY CHENG HONG COOKED FOOD (MIXED RICE),FOOD & BEVERAGES,159 MEI LING STREET #02-01,140159
1698,Queenstown,HILLVIEW YONG TAU FOO,FOOD & BEVERAGES,159 MEI LING STREET #02-18,140159
1699,Queenstown,MEI CHIN MARKET FRUIT STALL,WET MARKET,159 MEI LING STREET #01-27/29/30/31,140159
1700,Queenstown,YONG TAU FOO,WET MARKET,159 MEI LING STREET #01-33,140159
1701,Queenstown,AH HOE COOKED FOOD,FOOD & BEVERAGES,159 MEI CHIN RD #02-10,140159
1702,Queenstown,SIN KEE CHICKEN RICE,FOOD & BEVERAGES,159 MEI LING ST #02-22/23,140159
1703,Queenstown,CHUANG XIN LOR MEE,FOOD & BEVERAGES,159 MEI LING STREET #02-04,140159
1704,Queenstown,NO STALL NAME ( VEGETABLE SHOP),WET MARKET,BLK 159 MEI LING STREET #01-21,140159
1705,Queenstown,WENG FATT PROVISION SHOP,WET MARKET,BLK 159 MEI CHIN MARKET #01-17,140159
1706,Queenstown,HE LE,FOOD & BEVERAGES,BLK 159 MEI LING STREET #02-29,140159
1707,Queenstown,HO KEE ROAST DUCK CHICKEN RICE,FOOD & BEVERAGES,BLK 159 MEI LING STREET #02-11,140159
1708,Queenstown,QUEENSTOWN SUPERMARKET,GROCERY/PROVISION SHOP/MINIMART,BLOCK 169 #01-1161 STIRLING ROAD,140169
1709,Queenstown,LITTLE RED DOT BAKERY,CONFECTIONERY,BLK 169 #01-1165 STIRLING ROAD,140169
1710,Queenstown,COCO YUMMY HOUSE,FOOD & BEVERAGES,"46-3 COMMONWEALTH DRIVE, #01-386",140463
1711,Queenstown,DOU JIANG,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-15,141001
1712,Queenstown,TONG KEE CHICKEN RICE,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-25,141001
1713,Queenstown,TIAN XIANG WANTON NOODLE,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-11,141001
1714,Queenstown,HAKKA THUNDER TEA RICE,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-31,141001
1715,Queenstown,PING KEE HAINANESE CHICKEN RICE,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-07,141001
1716,Queenstown,HAI CHUN BAN MIAN,FOOD & BEVERAGES,1A COMMONWEALTH DRIVE #01-06,141001
1717,Queenstown,NOR NASI ALA KAMPUNG,FOOD & BEVERAGES,2A COMMONWEALTH DRIVE #01-20,141002
1718,Queenstown,FAROK NISA FAMILY FOOD,FOOD & BEVERAGES,2A COMMONWEALTH DRIVE #01-19,141002
1719,Queenstown,SOON HENG DESERT STALL,FOOD & BEVERAGES,3A COMMONWEALTH DRIVE #01-30,141003
1720,Queenstown,FRESH FRUIT JUICE STALL,FOOD & BEVERAGES,3A COMMONWEALTH DRIVE #01-27,141003
1721,Queenstown,ZHA YU HAI XIAN TANG,FOOD & BEVERAGES,BLK 3A COMMONWEALTH DRIVE #01-26,141003
1722,Queenstown,FUNG ONN MEDICAL STORE,CLINIC/PHARMACY/HEALTHCARE,BLK 48 TANGLIN HALT ROAD #01-335,142048
1723,Queenstown,CURRY RICE,FOOD & BEVERAGES,BLK 48A TANGLIN HALT ROAD #01-22,148813
1724,Queenstown,HAN LIM DIM SUM,FOOD & BEVERAGES,BLK 48A TANGLIN HALT ROAD #01-12,148813
1725,Queenstown,JIA JIA LE CHICKEN RICE,FOOD & BEVERAGES,BLK 48A TANGLIN HALT ROAD #01-21,148813
1726,Queenstown,CHEN MEI SHI LOR MEE,FOOD & BEVERAGES,48A TANGLIN HALT MARKET #01-14,148813
1727,Queenstown,FISHBALL / MINCE PORK NOODLE,FOOD & BEVERAGES,"48A TANGLIN HALT, TANGLIN HALT MARKET FOOD CENTRE #01-08",148813
1728,Queenstown,STALL 39140,CONFECTIONERY,48A TANGLIN HALT ROAD 39/40,148813
1729,Queenstown,MEI JIA FRIED BEE HOON,FOOD & BEVERAGES,"BLK 48A TANGLIN HALT FOOD MARKET
#01-18",148813
1730,Queenstown,UNISEX HAIR & BEAUTY SALOON,HAIR SALON/BARBER SHOP,1 JALAN BUKIT MERAH #01-4508,150001
1731,Queenstown,HONG REN TCM CLINIC,CLINIC/PHARMACY/HEALTHCARE,1 JALAN BUKIT MERAH 01-4518,150001
1732,Queenstown,UNCLE HOUSE OF CANDY,WET MARKET,6 JALAN BUKIT MERAH #01-96,150006
1733,Queenstown,CHUN SENG NOODLE HOUSE,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-113,150006
1734,Queenstown,NAN ZHEN SEAFOOD,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-37,150006
1735,Queenstown,FATTY CHEONG ROASTED MEAT,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-144,150006
1736,Queenstown,MINI WOK KITCHEN,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-15,150006
1737,Queenstown,R & R MEAT POULTRY,WET MARKET,6 JALAN BUKIT MERAH #01-74,150006
1738,Queenstown,AH HUAT SUGAR CANE JUICE,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-118,150006
1739,Queenstown,CITY FASHION,OTHERS: APPAREL / FASHION,6 JALAN BUKIT MERAH #01-98/99,150006
1740,Queenstown,HENG HENG HOT AND COLD DESERT,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-101,150006
1741,Queenstown,DONG JI LA MIAN XIAO LONG BAO,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-19,150006
1742,Queenstown,CUI JI FOOD STALL,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-131,150006
1743,Queenstown,GOODNESS OF THIRST,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-18,150006
1744,Queenstown,FU YUAN MA LA XIANG GUO,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-29,150006
1745,Queenstown,BAKERY NEW HONG KONG,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-129,150006
1746,Queenstown,SIPEI COOL,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-14,150006
1747,Queenstown,ZHEN DE HAO,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-108,150006
1748,Queenstown,JASON PENANG CUISINE,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-112,150006
1749,Queenstown,HABIB’S POWER MEE STALL,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-08,150006
1750,Queenstown,MOK LEE COLD AND HOT DRINKS,FOOD & BEVERAGES,6 BUKIT MERAH LANE 1 #01-127,150006
1751,Queenstown,YONG KEE FAMOUS FISH BALL NOODLES,FOOD & BEVERAGES,6 JALAN BUKIT MERAH #01-121,150006
